Session,Count,Med Pullback ($),P25 Pullback ($),P75 Pullback ($),Avg Pullback ($)
Asian,38,44.800048828125,29.7501220703125,81.64990234375,75.95525801809211
Pre-London,21,29.69970703125,6.69970703125,53.7001953125,34.014322916666664
London,24,3.199951171875,0.0,34.150146484375,17.004170735677082
New York,26,0.0,0.0,15.9498291015625,11.992281400240385
